x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
2068,827,2542,930,1127,276,212,2240,2660,1148
2264,1746,2050,2133,2179,875,460,1910,1082,2286
1787,2058,2364,186,2030,2222,2316,2337,519,1572
1153,824,5,1413,1001,2611,340,915,722,257
2661,1878,1583,1810,955,545,859,2226,2584,1141
156,1730,1826,2648,1300,1088,91,312,947,359
2700,2437,666,426,1700,1453,1152,2576,2505,564
299,2429,322,2240,1490,2576,1259,307,1274,404
2240,1852,2352,405,1116,2370,207,855,2360,1304
2339,2101,1579,547,2263,1100,2140,1299,946,1927
1292,200,1841,1657,910,1483,234,1520,360,1143
2102,1458,343,160,901,960,2217,373,2336,1620
680,1855,2416,1467,159,210,1017,27,1175,988
806,1991,1055,1821,478,2307,1461,1548,2100,2655
391,2108,2655,851,542,1885,2124,1573,1691,809
68,1792,1547,2179,1694,2338,1722,1090,2258,137
1983,1205,2534,360,817,676,412,2072,1411,1918
1482,107,306,916,2017,90,2524,2204,2561,1061
720,828,2610,1142,2631,2233,1205,584,2221,1679
317,1258,2346,1433,2334,1152,1612,139,238,896
1807,1473,31,1889,2160,1524,278,2044,713,1418
642,1217,144,1933,1440,860,1086,920,596,2284
2,124,1645,807,602,358,592,1872,930,2261
2638,218,2523,354,1186,1232,610,92,64,366
245,1287,2034,650,1507,564,1841,1524,1310,1964
1778,387,629,534,1536,2457,723,1517,2549,270
1135,1334,2407,2504,482,832,574,1392,2394,1154
895,1823,225,1412,1272,761,692,2366,2196,960
547,1406,2137,145,2025,789,2472,2122,1200,1149
1183,2405,125,2570,2524,1420,2048,1481,572,908
1307,2605,2244,1488,730,7,2121,1128,2192,2090
943,2329,1316,705,1899,1957,1886,948,2245,304
392,1096,1113,558,2601,1955,1144,1781,999,1006
2515,2662,1309,1209,756,1230,577,749,372,112
2698,841,2348,505,2582,1124,1066,1343,1412,682
1742,1814,447,1138,1065,185,282,393,2451,1861
285,1549,1614,2280,2188,2604,2671,1706,590,1674
2316,697,2715,835,203,2625,1359,45,2049,2544
2277,338,2463,2058,916,431,1741,1597,280,414
1837,586,1419,591,450,2173,2078,477,1289,2046
751,513,1680,965,2006,700,335,1248,1881,1231
135,1383,68,2117,2219,1912,1499,2361,2700,594
853,2598,2127,1069,1353,1574,1292,1514,1935,1670
423,1395,2452,1470,1453,2310,2190,2409,113,2696
242,355,351,1084,2223,1049,360,1202,321,2198
2460,18,468,681,2075,864,1208,1758,2023,1027
1804,656,1307,77,2085,587,2199,782,1651,984
134,159,428,1227,2568,1789,343,731,1966,338
1233,1048,1222,233,1509,833,2029,2399,266,1867
1415,2322,2389,460,1733,1680,1272,1946,2328,113
2566,1405,2395,417,140,1161,1350,1680,1010,951
2343,1527,872,2374,747,278,99,318,1011,2578
2213,1552,1749,1154,791,2242,2704,1794,227,1452
1785,2061,1697,109,539,2623,2632,1003,1960,298
187,1529,2405,1075,88,629,956,847,2480,151
1129,1986,2183,989,1897,989,1435,889,426,1341
2478,2577,2139,1615,2116,819,2349,1394,1069,329
1059,388,751,1498,2162,16,1240,2493,1817,760
1643,814,2674,2084,2277,2413,2076,997,2576,1318
440,2621,1609,246,1559,917,823,1371,551,649
37,162,1603,174,2264,507,449,1612,2710,1048
418,851,2402,912,142,2524,1397,518,694,292
128,2445,1752,1277,1501,1027,1777,236,148,1041
1796,542,552,2474,431,908,140,1180,2712,1630
1684,823,2410,2279,2387,1449,882,2140,630,2311
2543,580,2620,992,1182,1512,2010,2086,1178,1133
2468,1239,138,1727,62,1987,745,147,844,805
1051,1122,1549,2366,1107,2138,959,2106,1952,197
2429,1893,2297,2282,975,955,201,2378,344,1478
2090,2306,698,800,694,487,1847,2611,1530,1310
2523,672,991,2522,1556,2336,1442,1216,604,2481
2052,1439,795,2134,1336,588,1863,1678,568,2067
674,2584,1154,1444,548,1523,1814,223,2036,2521
781,42,694,2049,1617,1541,2340,922,1269,2326
1913,1090,2666,1298,2493,415,2068,1041,800,530
902,517,2039,1837,2184,1837,1595,745,537,807
2077,737,33,2616,362,2682,2250,2592,306,1518
2198,234,2116,1478,622,354,1296,1713,1196,2136
548,114,2660,1261,1191,2312,129,510,1971,1727
530,1659,2218,1268,211,1413,1693,880,359,1058
2546,1765,140,1923,528,1372,2125,999,911,2337
383,1392,1063,1870,2145,2263,1892,605,1884,858
1996,1592,1434,1603,749,1436,789,1742,2461,227
1384,918,286,1959,1305,42,186,1507,2553,2535
1762,363,167,769,2274,1720,290,2144,910,1601
1942,583,1735,1321,1724,1855,2231,1222,1517,259
2330,661,1590,322,1631,1861,1480,907,1345,2007
2537,102,1236,809,1856,2146,2232,182,880,1448
2008,212,542,1582,2589,2217,1427,109,1051,2491
696,1094,1535,827,2685,1315,2268,77,2148,1004
1585,1849,1478,2067,1567,1274,2176,1438,1461,1788
2058,1448,520,2075,94,30,895,2189,176,926
624,1012,1673,1966,527,1605,1262,1479,2573,1860
850,2365,1855,2684,1990,401,1406,2077,1185,1121
1234,1862,1220,2624,656,1590,1738,1662,2327,1529
1004,1982,458,245,869,453,2355,2123,256,932
416,457,940,1468,2342,1193,1914,1313,334,1709
2272,840,2261,1726,480,2057,1103,951,1240,21
564,386,716,2392,113,2669,1505,412,638,983
1818,885,2457,1220,2266,1638,432,336,245,684
361,1368,1013,46,985,2232,667,2199,1725,331
1326,2537,669,1068,258,811,2290,409,454,2442
1571,998,2686,1611,445,1298,1409,1113,2698,1731
1817,2559,976,1706,1802,363,732,1762,2293,1900
1593,2347,46,2687,812,413,2295,984,1331,702
670,1156,2572,2376,337,76,1368,824,2039,2564
2456,1800,139,1921,2507,1323,2502,2022,2224,1566
747,330,1326,1891,1740,2713,1532,234,517,949
1523,201,609,230,879,2065,1363,1411,678,1081
1664,2473,1493,290,1120,954,2659,2190,2132,416
562,434,2688,1570,612,273,995,1532,2637,599
114,385,937,890,1804,1858,311,1182,1115,383
1124,160,1653,1231,226,1811,1451,1012,1565,1713
2614,2490,759,2443,1408,2487,495,1091,129,392
2303,852,2396,695,1728,35,712,239,1974,2533
1949,745,296,356,2134,2097,2298,1022,2379,880
1488,2130,347,379,2538,135,223,1006,739,253
824,2617,1576,205,2698,398,2572,405,928,2011
740,582,1103,1224,2041,1091,2535,661,404,120
489,1378,2668,2664,2547,316,356,2392,806,142
894,992,1703,295,1397,280,161,1456,2647,1291
2504,2193,1561,2138,1577,411,971,1957,2484,1100
2250,2554,1822,566,71,2556,1941,813,2033,2516
1457,1116,1536,2701,875,2434,1598,2200,1916,2327
2371,2005,1733,18,1133,255,185,253,566,2254
287,608,2612,225,375,1035,1765,1765,356,733
1583,1418,1551,573,205,1693,877,899,199,1245
2488,846,90,1853,57,2328,541,471,2706,125
2116,2109,2484,1854,2205,1305,148,963,1842,2124
334,268,2580,520,1994,920,1550,1127,1063,504
2072,89,2358,1120,1169,1189,678,916,1472,927
1854,1125,2619,684,2504,1986,2097,795,1833,662
1084,153,1314,429,1539,1258,146,866,1080,1129
1366,2084,1065,1047,1247,1490,1102,2280,85,148
2526,1481,1100,2029,1099,705,2095,102,44,2275
1100,1320,905,685,2125,508,1324,715,1551,144
1325,252,1119,962,1103,294,5,1542,1024,2383
318,1198,2040,2262,1529,89,241,2002,2433,876
905,700,2260,1847,887,155,346,1640,2233,1322
553,356,1863,2198,1482,1246,2701,1971,378,358
2270,2027,1587,862,1234,1633,1904,2660,2111,1417
693,415,1091,248,1606,2252,2370,651,2045,2588
1618,2195,1437,1951,2227,1015,1649,359,1360,2139
2011,1985,2481,1632,2703,2254,2482,194,340,2595
623,91,1034,1063,381,2087,550,249,635,1627
1707,150,1059,2242,2325,262,1652,799,1525,2605
909,609,619,1710,1543,2013,1759,1232,692,82
800,2487,317,2007,396,1356,1622,36,2064,844
106,44,1061,385,398,2235,948,197,2377,2388
739,2003,1339,712,814,2032,2158,1188,595,940
916,1098,1431,2437,2596,1601,1405,156,2478,785
1443,1702,2268,2359,1034,2481,1000,2196,1476,551
2452,817,1767,2059,99,2392,2319,2389,1529,1227
1214,393,1721,557,2235,2676,274,1295,1716,738
1975,1560,54,1552,15,196,2703,2607,104,336
907,2047,1226,2520,1384,551,2270,2008,1166,2584
18,2179,2381,250,2643,2026,2261,2043,609,1428
2248,991,585,2533,2646,2475,549,1359,1911,1089
1312,2138,916,2006,2097,1904,1912,2347,1038,2110
1072,1613,800,252,1064,1284,2223,2206,846,1814
2602,1572,56,1583,1494,1213,615,2645,2333,2687
1026,2654,1848,1147,625,1762,2083,2251,1184,2233
1526,2397,1227,2636,716,843,1146,2101,1616,470
1357,677,869,1267,1726,2523,2338,1725,1703,311
718,801,2432,2677,429,1865,1851,2651,1535,817
708,274,533,400,537,418,2379,1280,219,1937
738,1014,230,2200,1520,643,124,2108,2361,241
2659,2330,283,1917,387,1999,2040,1671,1215,1967
1352,1391,247,2639,2051,579,55,2669,524,1603
2674,2667,2371,2449,621,859,649,422,1590,961
138,2384,649,2329,162,1753,1821,2118,2112,1063
1662,408,34,1098,168,560,472,703,2428,2062
901,1810,364,278,894,221,1695,507,460,1488
1749,2098,2392,2425,2212,1511,2228,361,1111,501
1272,230,1313,2166,1443,2393,2415,1050,555,2574
994,1645,2411,519,1805,666,2168,50,2127,963
2413,2673,259,2681,1926,423,1927,1173,1627,381
1755,1768,492,2235,433,1663,2106,2227,2284,2213
239,1724,2650,1794,176,320,1575,2288,2244,557
1263,2332,1829,1057,1441,1875,2673,2668,2442,2375
1096,397,1151,2161,2365,502,675,863,1417,2627
1865,1850,2090,2201,1277,2234,243,1973,1122,22
1403,2634,483,1003,546,1156,1565,1033,845,286
176,1861,1129,304,1297,1965,2618,586,1946,1924
2324,2334,1292,2175,2497,2527,1589,1650,1438,1175
157,466,995,1007,538,1893,975,1976,557,146
1990,27,1592,1766,2247,2519,1626,784,979,2715
1196,642,1887,1201,909,1261,87,244,298,1535
2170,1753,405,1437,896,1173,2315,212,2457,709
728,2357,1943,651,1138,2202,455,2126,825,964
2311,769,1413,365,1771,2162,2468,2171,377,1716
119,953,1808,2563,1106,1951,224,700,506,194
842,263,441,745,1904,847,1878,2188,444,2179
94,1639,1406,777,18,2330,2394,1245,1482,419
811,15,946,1409,607,1146,663,1225,669,328
1604,2032,536,1451,725,671,2308,375,2269,1998
820,1651,2067,1528,357,1976,1055,551,1176,246
830,1151,1369,1205,2431,2245,1774,2708,1232,2243
276,2507,888,49,1973,2208,2267,1776,1575,2438
1805,2096,2289,743,665,2356,1895,1110,2529,2512
2120,1817,1049,1178,1420,2500,18,1767,1394,1989
585,1140,2208,326,1077,1671,1796,351,818,2130
778,475,2430,1356,754,129,851,2488,1554,1166
711,663,1275,2501,1940,1216,1486,1571,8,1283
2081,401,2318,1993,1431,1431,2448,2084,2383,2020
93,868,1159,214,1592,1406,1858,1917,436,1951
537,1612,1417,2675,2663,979,2433,251,770,215
2548,1410,1192,2062,2016,1526,2439,1510,1136,1152
840,2714,1866,2457,1069,2620,2086,258,2687,2665
2683,978,312,1978,2064,1848,2030,1883,699,280
1492,1923,1188,1258,877,2380,444,1424,543,211
1114,1105,2222,722,305,1780,946,1431,1442,1742
35,2324,211,1638,2707,2613,2053,1538,2372,1164
965,605,2424,855,1003,1747,463,1450,2437,592
2692,2702,2540,568,701,67,1734,842,2022,47
621,641,313,156,561,2647,1169,1660,1939,1203
784,2403,575,737,717,1187,2323,1812,1723,920
1739,1071,608,1670,1295,2665,2423,388,2586,1311
184,103,1016,1531,2618,362,915,2407,1519,2460
263,1181,802,389,889,319,2440,240,1924,2193
2367,2670,148,1112,2015,1395,418,1509,40,2157
2581,2014,1854,2322,2177,1634,2529,2478,1670,275
206,664,2051,1878,133,1970,41,2382,482,1865
2662,1983,778,1380,2045,528,1328,831,785,959
1795,2099,645,1323,1983,470,2283,1396,2452,2238
1334,2021,1414,1738,575,370,2274,2699,427,2623
319,2668,1559,2093,2003,1442,126,2484,2535,753
2312,820,1444,128,555,18,862,1556,2059,2320
1487,85,1264,2286,1123,1930,2130,928,2339,1611
1121,649,1558,1074,2135,2538,1137,1871,2491,719
1067,849,2653,329,1237,565,1428,2282,45,445
844,2354,2322,1420,1179,695,476,149,418,1870
2088,720,2126,676,379,2347,1248,1177,421,2586
1722,624,2617,1024,2072,1107,1838,2666,1688,1218
1267,2017,2290,456,2381,1454,526,1189,480,452
132,1101,1595,2676,1206,1769,1249,1398,2035,1199
512,2276,632,1067,1097,160,1691,1209,2163,486
2243,30,121,1419,882,1521,2163,2231,2262,835
357,1520,2279,2318,355,1044,34,32,1488,1575
2074,1465,2387,1975,2035,271,275,2512,2507,2378
1101,1879,1466,2305,728,766,1163,534,2591,1549
847,798,1411,291,104,2184,718,103,2453,974
741,2095,2394,1052,1052,1879,1903,469,380,669
485,1996,2341,1394,1698,1704,108,2125,307,289
1999,1404,1950,106,322,1279,1325,71,1761,1499
1597,1774,1024,790,136,982,1069,1158,1110,2244
230,45,989,1371,1456,1317,1877,1427,2382,1945
2582,371,2106,1819,2220,1886,2555,1813,1531,2539
690,1526,742,1048,558,834,127,1902,639,1483
862,548,704,682,567,1310,1094,1937,1383,602
2075,1266,2079,608,1385,1544,1573,1518,83,2558
393,2413,2377,2662,2356,95,674,225,2411,1070
1125,336,2615,1481,2132,2476,2452,1413,2106,2035
271,316,164,2147,111,923,1997,2128,127,1550
269,1245,303,932,2192,1030,1791,84,1829,2154
2187,2219,1477,659,1766,911,1611,326,2020,40
2639,394,1805,1458,363,1546,1458,2663,2209,1941
1170,1163,906,2567,1458,778,688,638,1181,654
2706,2571,1900,24,1557,2139,2145,2422,2272,2597
687,577,1277,736,332,1194,400,756,2283,2583
1569,1005,1889,1527,605,1281,2164,1066,813,1689
2004,1323,1131,1783,1712,1645,1971,1366,2203,1112
1979,2712,42,2537,1553,1554,927,2130,2259,1481
2462,2186,1453,2673,957,1374,22,2597,1313,2253
1890,887,112,1197,366,2515,1989,1057,1746,1060
358,1922,2557,1320,29,1840,1088,1992,1757,2464
2708,1193,2608,2146,2655,216,1404,42,1224,1422
989,308,321,2396,1459,2656,501,1117,302,2434
1047,55,981,71,2557,1115,2050,41,897,657
2620,1559,1981,719,629,113,1468,901,2385,172
570,790,1962,1903,1848,763,2005,563,797,1984
2335,1688,507,943,2620,2181,1639,1499,1144,322
897,2,516,2091,1492,331,370,867,2069,1502
445,342,2052,587,599,3,1907,1689,1329,143
1761,1872,2563,1902,2370,1564,1053,1420,391,853
993,2417,2385,1207,2448,963,753,657,417,1530
2487,982,2555,979,668,2602,949,2342,1919,507
424,2044,266,485,1345,1514,175,877,217,2566
535,1023,656,308,1112,2255,875,1223,1775,324
64,2360,2276,398,764,6,506,1455,1693,806
218,1077,2284,1483,1220,967,123,1983,315,665
2521,1328,1864,1732,1347,1023,1679,979,233,2612
2477,864,2207,1610,2095,2369,904,1067,1579,1917
593,1319,1098,166,1044,1813,1038,1559,951,1370
1335,2068,861,554,762,2460,2389,808,484,2289
2490,2217,933,478,1535,208,2167,1914,38,1496
124,2039,954,436,1786,69,287,268,804,2424
2237,10,1890,860,2087,1935,1369,1918,1382,1962
2331,2066,1956,2698,1100,2673,2595,1210,2052,178
172,617,1763,1976,1807,1352,2391,704,350,2525
951,469,2018,1295,2554,87,2551,1500,349,2056
1001,273,671,1186,1901,2394,2383,1623,1128,2111
982,1607,1774,2361,1822,130,643,2221,1787,715
89,1009,939,675,1682,1217,2229,952,1356,1325
2491,710,373,2351,60,821,2014,205,1363,24
1897,648,470,1053,1644,318,1998,692,29,2102
1840,1832,261,864,1223,1324,511,1590,1545,247
2254,1424,65,772,2098,2462,1156,2232,1219,2044
385,867,381,2232,1023,2655,1809,2400,343,1965
1293,2706,17,1459,1890,2042,1530,1631,1465,2428
1797,467,2156,337,1775,2017,2193,535,2263,705
2669,2517,2547,700,768,966,1063,1294,1152,2317
468,1255,1017,938,2386,112,1455,1844,2083,605
1319,630,1185,2659,1519,2568,2237,428,2694,1467
1396,1844,1217,194,8,1553,2410,2475,666,1929
228,1999,2310,803,2417,2185,2556,2073,2341,1895
1257,1030,2164,1856,1377,189,1870,1395,875,730
1966,1551,479,1875,2037,968,1171,833,284,395
829,491,1597,1388,1578,2580,1460,78,925,1220
1781,270,524,1887,588,830,2425,338,2037,1649
505,2300,580,899,1057,2642,2299,1028,698,952
1460,296,1548,2086,1710,2652,2038,2364,1511,2088
1320,689,2196,1124,1479,1883,1319,2113,1460,1140
1716,842,2263,935,2642,1916,1256,1651,1797,2114
3,599,2379,2037,2461,1209,1437,1277,2346,1280
1401,2262,2561,2715,571,200,2454,2096,810,1780
1634,299,1056,2385,2208,2555,879,1703,428,2146
550,2275,1875,212,138,958,1289,2694,602,1793
1638,569,2476,1378,592,1133,2692,1655,1753,2126
71,2596,1212,947,296,1340,2598,1035,1700,742
2096,2337,1643,2599,284,1153,814,1782,477,2127
333,2556,1951,2614,635,1778,885,2168,663,1022
2142,104,2033,2475,680,2549,1785,1763,738,726
1037,279,578,555,2688,1772,1238,1240,1561,2071
448,1602,2649,2206,358,1145,2337,1543,650,1521
1945,1377,127,2181,2005,716,1416,2094,974,1576
1904,1946,1815,529,2,1503,2378,976,2697,1049
2430,478,1617,960,1392,1388,2332,464,771,718
1881,1668,1540,332,580,2296,1119,456,1330,2501
1223,1421,1539,1429,1953,466,322,398,1106,2361
976,1161,777,976,470,2421,1556,2050,2216,2695
2334,1294,1208,2523,2702,672,642,2057,1169,1165
10,2541,971,980,233,1196,620,1296,1907,107
115,1619,2205,240,307,1202,143,266,980,1473
2210,722,1124,53,1575,1143,690,291,1303,2579
2555,1082,687,1562,91,469,1465,1446,554,1641
1049,1215,2616,216,2709,1084,1224,1720,769,1292
2713,1274,562,2594,351,605,654,1972,100,2353
964,791,2332,181,241,326,2713,305,2290,108
1119,435,378,2050,328,2174,1232,1522,542,2297
609,1486,973,1272,1885,973,710,106,393,1512
1029,58,1636,902,1639,2635,1986,1062,658,2343
1308,2247,1199,576,890,190,1642,1999,1563,278
6,2680,1043,1407,710,1306,486,1131,2288,1730
1751,1610,490,1512,2257,602,1716,737,708,970
918,2482,212,396,1225,2708,2455,1106,2134,2335
2565,2624,1246,1809,2108,1376,2642,2019,1179,1565
2229,1711,444,2105,2581,1535,1928,1231,57,2063
1379,796,2027,988,1406,882,19,5,1277,593
1908,1509,1852,1929,1729,839,2652,1476,1624,1749
2702,1224,319,1082,1007,681,1064,1935,175,1594
2505,304,1304,2458,2681,1383,1043,340,2391,435
401,1295,2011,1132,108,2448,2419,709,2639,449
126,19,1429,1059,437,1057,1285,934,1917,1426
2064,1297,1907,1565,2000,1817,1799,2041,75,195
1917,67,1198,1026,75,1727,625,1069,1377,76
217,154,1828,1883,2383,688,1840,2146,988,900
966,983,1356,1922,1454,1301,475,2658,1772,2468
1819,285,2550,2551,790,1499,950,1944,2583,1683
419,464,513,2629,421,1739,1407,1501,1906,637
1361,2121,853,2489,109,2644,1826,26,814,1916
630,2440,1303,207,2653,1218,377,937,1016,902
1669,1452,1556,164,700,402,499,2556,153,1469
2361,2299,782,540,1888,2668,416,2697,1573,911
768,711,817,2000,755,578,1384,360,1065,2162
760,391,472,1840,1326,1465,1707,152,2255,997
267,379,2382,2653,2086,239,852,70,1368,1902
67,2218,1271,316,964,740,2510,2426,2021,1069
1622,919,959,618,2542,73,2115,1464,1470,2352
338,2073,1137,2234,506,530,925,144,2593,198
1768,2711,1599,612,2503,107,1211,2080,2693,695
2149,2240,2306,1400,1026,2650,403,322,840,1423
1299,1891,1189,2252,209,264,930,2710,1512,813
1681,751,494,88,5,2399,1158,1963,2601,867
554,9,821,368,1826,2546,1536,884,66,303
507,856,880,521,1618,612,2499,603,292,2630
2481,1984,2104,2003,1411,2531,871,453,1781,2023
1437,1772,2362,2180,1551,630,1487,1862,2230,1981
2349,1842,1336,1702,1199,154,1967,2283,1914,1796
2447,1874,2691,2500,413,1881,1467,2236,891,1786
1875,169,2019,2135,2048,1805,2645,1147,1994,1225
99,2635,2685,2696,1495,748,2500,344,2555,288
2686,348,1095,1724,237,861,1074,1943,1943,1272
2584,2589,745,2389,1462,1077,1140,80,2678,509
529,1958,1471,670,2416,136,1022,512,2634,231
2550,1230,1038,1240,893,242,2256,410,313,615
2569,2132,2699,394,1170,1668,2239,2460,507,1040
1566,1195,1796,638,2143,2179,2122,2218,1983,1486
188,2592,1021,1065,1114,254,11,1260,1468,1460
2017,145,635,1096,1930,539,1374,1486,2001,219
464,493,2626,1628,2099,2482,159,2255,1423,1969
243,2644,2512,1129,1660,935,924,768,2265,300
775,793,724,1174,2112,31,2236,1505,1707,1996
2714,2285,875,445,798,268,2460,2432,768,1668
1024,1971,333,2478,444,1570,2428,1916,2465,843
1902,326,884,810,1321,1914,1755,1017,821,541
451,2052,521,391,2239,1953,2198,2149,525,1237
1935,1598,2060,1676,1298,1973,383,710,202,1123
1350,744,2056,1062,1788,1901,2203,1422,2572,1513
1963,658,518,1511,997,651,1533,1089,1095,98
2282,692,1961,2706,383,2637,1535,640,131,2604
533,600,2403,856,370,624,386,806,2087,672
1442,1035,257,1328,1085,2056,1726,121,700,2431
1278,2161,506,1424,640,817,2331,1868,725,239
2519,1928,1164,1426,831,2544,1284,1315,1195,889
2113,81,1635,1270,131,1707,1890,1625,2597,1631
2053,358,2536,1312,1071,1400,1057,2335,2652,1553
1555,1303,2200,1495,1288,1588,1235,1252,2459,2614
1469,261,952,195,570,1188,2063,165,156,1282
1003,511,1252,1915,1978,1878,630,804,2522,648
1606,1620,1684,378,1430,1945,1776,1495,603,1120
46,1596,1839,2441,2154,1615,1020,2056,2462,1787
1646,1183,2438,2218,155,2626,2560,2262,279,1569
1645,1016,1915,553,1383,937,2360,1349,2282,707
647,1518,400,2309,1751,1331,1664,217,160,1963
1238,422,1662,1206,589,1466,635,1664,952,2486
697,29,2167,130,646,290,537,1707,498,287
985,2083,2689,905,557,849,2417,812,2260,2505
1717,455,1072,546,365,1835,599,966,150,1829
973,574,1877,2342,2200,1920,398,49,1428,1842
1948,1586,1200,2129,1476,2304,997,2461,1150,260
1504,1868,2193,1844,2127,2155,96,155,173,987
1034,376,2356,387,2283,1204,679,1452,1862,2483
950,255,1267,2031,727,962,1286,989,1105,1186
2001,1766,1265,2505,338,1147,2596,118,874,1431
1830,2100,2195,729,2261,360,1610,120,1193,2030
600,985,2393,333,1303,1828,713,174,209,1035
1729,173,2524,450,1386,1545,500,281,1553,596
1864,227,893,1663,2397,1679,246,517,30,638
524,959,1847,763,2541,2633,357,2376,971,1543
321,1824,2473,2498,807,1533,2288,2078,36,2534
2177,1524,1501,569,1322,214,588,2152,924,1185
363,1676,208,1022,107,1998,864,31,248,216
856,2446,1201,137,79,639,145,1749,1628,773
2444,468,2579,699,1066,2512,1154,717,985,1662
611,558,153,1432,2640,58,2665,367,2479,1700
1420,1895,1517,614,1126,2511,2317,1081,2236,1938
700,2458,2296,1000,723,1917,822,595,1194,2342
1544,1955,2515,1299,2388,2398,43,2158,2329,2498
1951,1593,1756,2277,2668,2557,2408,902,250,183
2227,2257,1991,1117,2214,534,2096,1190,855,2418
2517,1168,332,1228,2537,2083,1917,859,877,1126
1759,1397,1922,349,1691,2467,1760,792,2082,518
2360,2491,2305,1880,1180,312,2327,2058,1820,619
1374,1061,2028,2150,187,390,1950,1497,1636,1252
2473,905,829,1079,1613,1170,1033,1649,1256,1216
1385,486,2559,190,946,1105,365,1964,1615,467
1056,2412,2485,1156,2399,1971,555,987,991,1983
2295,2107,1064,226,2361,445,2654,636,96,199
1500,1603,1455,1422,1121,456,1942,1082,1318,1323
1377,123,903,795,866,816,425,1105,1510,607
2440,2303,620,1550,1608,419,483,2281,620,1372
1853,567,1692,1469,1039,814,2042,1121,2398,1508
494,2674,586,232,2487,606,2506,313,184,883
1960,2241,2673,1575,664,47,846,791,1440,1396
1140,398,1421,1605,1193,1834,716,2698,1043,2385
2549,1657,2363,2273,2001,2529,569,417,2668,26
1242,96,284,762,2510,591,590,1000,2228,2704
2631,1825,2107,920,2091,1820,1613,1334,1876,39
1255,2455,2562,635,2636,2144,1167,572,43,2248
1413,320,1491,1284,2340,1506,735,606,2317,2107
2554,277,191,412,1793,357,289,421,1405,201
2060,1135,2009,288,1922,750,2705,2436,1898,2152
2380,1169,59,861,1595,2464,1079,124,10,666
2037,1204,2445,725,944,1476,1674,1055,1679,2520
810,1589,1941,1183,2411,734,1187,2271,1041,727
1744,576,2350,2074,1593,248,1553,330,2419,1200
2107,2171,2251,496,843,626,2566,37,591,2411
1886,1114,365,917,2058,1339,144,788,2608,797
1561,2521,250,297,1976,41,1893,727,1173,610
836,2553,1259,901,181,2560,2698,2490,1613,185
2028,1472,2634,751,2313,2286,1194,264,873,2239
880,2166,1960,1773,255,863,1972,1008,1717,415
113,595,1389,121,1709,2567,769,814,1644,2106
2446,2580,998,2528,863,1675,2465,1711,1081,2702
561,141,696,87,2043,297,668,441,1669,1139
2150,2078,932,1049,1798,2308,1098,2448,162,1385
190,1219,2676,2095,1957,2402,2585,207,1384,2094
1265,1504,1657,187,1959,2672,1839,1841,121,232
227,119,1485,1216,2217,1493,606,763,2364,763
2436,2053,1744,1254,2485,2112,232,1667,798,2575
722,1080,1671,2667,1971,943,1557,1599,2489,1095
1813,2511,2144,511,50,328,1569,1551,488,1507
1698,966,1479,579,1655,139,2135,2459,2365,2309
1833,2127,2099,2073,270,1585,563,2638,2403,595
638,2192,1936,459,1075,2150,2676,2655,1661,956
409,1374,1261,388,2299,1237,2461,2532,1649,579
1855,472,1145,1436,2149,919,1356,222,496,1468
865,736,1109,1865,2543,1471,657,297,1026,341
1354,771,1152,1499,1137,570,857,1338,808,1659
2145,193,344,727,933,649,2136,154,1578,2006
1063,1121,2589,1182,2050,1311,2532,2481,1663,2553
